date_scraped,search_page_num,chemical_name,chemical_page
2019-12-11 06:45:08.371201,242,TRIDECETH-6 PHOSPHATE,https://www.ewg.org/skindeep/ingredients/724605-TRIDECETH6_PHOSPHATE
2019-12-11 06:45:08.418349,242,TRIS-OLEOYLTROMETHAMINE ETHANE SULFATE,https://www.ewg.org/skindeep/ingredients/724702-TRISOLEOYLTROMETHAMINE_ETHANE_SULFATE
2019-12-11 06:45:08.468698,242,UNDECYL ALCOHOL,https://www.ewg.org/skindeep/ingredients/724750-UNDECYL_ALCOHOL
2019-12-11 06:45:08.509885,242,UNDECYL DIMETHYL OXAZOLINE,https://www.ewg.org/skindeep/ingredients/724751-UNDECYL_DIMETHYL_OXAZOLINE
2019-12-11 06:45:08.741415,242,VAT RED 1,https://www.ewg.org/skindeep/ingredients/724801-VAT_RED_1
2019-12-11 06:45:08.784856,242,ZEA MAYS (CORN) SEED FLOUR,https://www.ewg.org/skindeep/ingredients/724910-ZEA_MAYS_CORN_SEED_FLOUR
2019-12-11 06:45:08.827763,242,MYRISTAMIDE DEA,https://www.ewg.org/skindeep/ingredients/724996-MYRISTAMIDE_DEA
2019-12-11 06:45:08.869302,242,ASH TREE EXTRACT,https://www.ewg.org/skindeep/ingredients/725201-ASH_TREE_EXTRACT
2019-12-11 06:45:08.913431,242,CETYL DIMETHYL COPOLYOL,https://www.ewg.org/skindeep/ingredients/725308-CETYL_DIMETHYL_COPOLYOL
2019-12-11 06:45:08.953477,242,CITRUS MEDICA LIMONUM (LEMON) SEED OIL,https://www.ewg.org/skindeep/ingredients/725335-CITRUS_MEDICA_LIMONUM_LEMON_SEED_OIL
2019-12-11 06:45:08.998074,242,DC RED #6-CALCIUM LAKE,https://www.ewg.org/skindeep/ingredients/725398-DC_RED_6CALCIUM_LAKE
2019-12-11 06:45:09.042477,242,HYBRID SUNFLOWER SEED OIL,https://www.ewg.org/skindeep/ingredients/725574-HYBRID_SUNFLOWER_SEED_OIL
2019-12-11 06:45:09.084208,242,HEXADECYL GLUCOSIDE,https://www.ewg.org/skindeep/ingredients/726185-HEXADECYL_GLUCOSIDE
2019-12-11 06:45:09.123699,242,COPPER CHLORIDE,https://www.ewg.org/skindeep/ingredients/726215-COPPER_CHLORIDE
2019-12-11 06:45:09.162254,242,METHYL ACRYLATE,https://www.ewg.org/skindeep/ingredients/726252-METHYL_ACRYLATE
2019-12-11 06:45:09.203192,242,PRUNUS MUME (APRICOT) FLOWER EXTRACT,https://www.ewg.org/skindeep/ingredients/726294-PRUNUS_MUME_APRICOT_FLOWER_EXTRACT
2019-12-11 06:45:09.242637,242,CINNAMOMUM ZEYLANICUM EXTRACT,https://www.ewg.org/skindeep/ingredients/726374-CINNAMOMUM_ZEYLANICUM_EXTRACT
2019-12-11 06:45:09.294407,242,NANOSOMES,https://www.ewg.org/skindeep/ingredients/726452-NANOSOMES
2019-12-11 06:45:09.345017,242,GLYCYRRHIZA URALENSIS (LICORICE) ROOT,https://www.ewg.org/skindeep/ingredients/726505-GLYCYRRHIZA_URALENSIS_LICORICE_ROOT
